Zielfunktionswert:     126655.00
t2 ; k7 ;        60.00 ;        60.00 ;         0.00 ;        10.00
t2 ; k8 ;        80.00 ;         0.00 ;        20.00 ;        30.00
t2 ; k11 ;        60.00 ;         0.00 ;        10.00 ;        30.00
t2 ; k12 ;         0.00 ;        20.00 ;         0.00 ;         0.00
t4 ; k7 ;       120.00 ;         0.00 ;        40.00 ;        40.00
t4 ; k8 ;         0.00 ;        40.00 ;        10.00 ;        20.00
t4 ; k11 ;         0.00 ;        90.00 ;         0.00 ;         0.00
t4 ; k12 ;       100.00 ;         0.00 ;        30.00 ;        30.00
t6 ; k7 ;         0.00 ;        65.00 ;        25.00 ;        15.00
t6 ; k8 ;         0.00 ;        70.00 ;         0.00 ;         0.00
t6 ; k11 ;       170.00 ;         0.00 ;        50.00 ;        70.00
t6 ; k12 ;         0.00 ;        70.00 ;         0.00 ;         0.00
t10 ; k7 ;         0.00 ;        45.00 ;         0.00 ;         0.00
t10 ; k8 ;        40.00 ;        50.00 ;         0.00 ;         0.00
t10 ; k11 ;         0.00 ;       110.00 ;         0.00 ;         0.00
t10 ; k12 ;       140.00 ;         0.00 ;         0.00 ;        40.00
